"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","LithDataProvider","ConstDataProvider","Link"
"CODWR","704","Colorado Division of Water Resources","NHP-AR-045","39.631663","-102.090366","NAD83","GPS","10 m","3569.97","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","62","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/704"
"CODWR","149917","Colorado Division of Water Resources","NHP-EC-030","38.856533","-102.258965","NAD83","Spotted from section lines","20 m","4126","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","322","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","017","Cheyenne County","TO","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Domestic, Stock","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/149917"
"CODWR","987","Colorado Division of Water Resources","NHP-EC-016","38.903629","-102.054474","NAD83","GPS","10 m","3874.25","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","275","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","017","Cheyenne County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/987"
"CODWR","993","Colorado Division of Water Resources","NHP-EC-021","38.913613","-102.52825","NAD83","User supplied","15 m","4526.86","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","222","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","017","Cheyenne County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/993"
"CODWR","990","Colorado Division of Water Resources","NHP-EC-019","38.944447","-102.410469","NAD83","User supplied","15 m","4384.1","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","230","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","017","Cheyenne County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/990"
"CODWR","1110","Colorado Division of Water Resources","NHP-EC-005","38.969486","-102.223115","NAD83","Spotted from quarters","20 m","4120","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","207","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","017","Cheyenne County","TO","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1110"
"CODWR","943","Colorado Division of Water Resources","NHP-PL-190","39.069721","-102.558253","NAD83","User supplied","15 m","4461","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","242","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/943"
"CODWR","939","Colorado Division of Water Resources","NHP-PL-185","39.084722","-102.446583","NAD83","User supplied","15 m","4355.61","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","221","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/939"
"CODWR","931","Colorado Division of Water Resources","NHP-PL-173","39.088336","-102.185185","NAD83","User supplied","15 m","4116.16","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","275","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/931"
"CODWR","921","Colorado Division of Water Resources","NHP-PL-164","39.100558","-102.072403","NAD83","User supplied","15 m","3993.81","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","178","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/921"
